section,title,date,page,url
기업/종목분석,"YG PLUS, 발렌타인 시즌 겨냥 '퍼니 트레저 시즌2' MD 출시",2024-02-13,3,https://n.news.naver.com/mnews/article/008/0004997967
기업/종목분석,"[특징주] '매각 본격화' 롯데손보, 상한가",2024-02-13,3,https://n.news.naver.com/mnews/article/014/0005141479
기업/종목분석,"젬백스, 진행성핵상마비 치료제 'GV1001' FDA 임상 2상 IND 승인",2024-02-13,3,https://n.news.naver.com/mnews/article/008/0004997954
기업/종목분석,유재석 김희선 앞세워 대박난 에이피알…올해 ‘첫 대어’ 잡아볼까,2024-02-13,3,https://n.news.naver.com/mnews/article/009/0005257760
기업/종목분석,"더존 정밀의료 플랫폼, 국내 첫 정보보호 국제표준 인증",2024-02-13,3,https://n.news.naver.com/mnews/article/009/0005257757
기업/종목분석,"[공시]에스티아이, 삼성전자와 769억 규모 공급계약",2024-02-13,3,https://n.news.naver.com/mnews/article/014/0005141498
기업/종목분석,"[공시]체리부로, 지난해 영업이익 215억..30.3%↑",2024-02-13,3,https://n.news.naver.com/mnews/article/014/0005141490
기업/종목분석,"[공시]대웅, 지난해 영업이익 1956억..5.7%↓",2024-02-13,3,https://n.news.naver.com/mnews/article/014/0005141478
기업/종목분석,"엑셈, 기보유 주식 전량 현물배당 결정…""상장 9년 만의 첫 배당""",2024-02-13,3,https://n.news.naver.com/mnews/article/015/0004947735
기업/종목분석,국내 상장 된 '인도 레버리지 ETF' 순자산 1위는?,2024-02-13,3,https://n.news.naver.com/mnews/article/014/0005141467
기업/종목분석,"신한투자증권, 저PBR주 성과 요인 분석 리포트 발간",2024-02-13,3,https://n.news.naver.com/mnews/article/015/0004947726
기업/종목분석,"피노바이오, 코스닥 상장 철회…""기업가치 제고 후 재도전""",2024-02-13,3,https://n.news.naver.com/mnews/article/015/0004947724
기업/종목분석,"피노바이오, 코스닥 상장 철회 ""심사 지연에 변수 커져""",2024-02-13,3,https://n.news.naver.com/mnews/article/014/0005141457
기업/종목분석,"에이피알 ""글로벌 뷰티테크 기업 목표…해외 공략 박차""",2024-02-13,3,https://n.news.naver.com/mnews/article/277/0005379123
기업/종목분석,"YG, 글로벌 신인 발굴 나선다…日 에이벡스와 8년 만 오디션 개최",2024-02-13,3,https://n.news.naver.com/mnews/article/008/0004997927
기업/종목분석,"이지스자산운용, 틈새 시장서 잇단 성과",2024-02-13,3,https://n.news.naver.com/mnews/article/277/0005379121
기업/종목분석,"KBI메탈, 작년 영업이익 78억…전년比 46%↑",2024-02-13,3,https://n.news.naver.com/mnews/article/018/0005672300
기업/종목분석,"미래에셋, ‘TIGER 인도니프티50레버리지 ETF’ 순자산 500억원 돌파",2024-02-13,3,https://n.news.naver.com/mnews/article/277/0005379140
기업/종목분석,"엑셈, 상장 9년만 첫 배당 ""기보유 자사주 전체 현물배당""",2024-02-13,4,https://n.news.naver.com/mnews/article/014/0005141450
기업/종목분석,에버랜드 겨울판 워터파크 '스파 캐비' 이용객 10만명 돌파,2024-02-13,4,https://n.news.naver.com/mnews/article/008/0004997923
기업/종목분석,"'IPO 대어' 에이피알 ""글로벌 뷰티테크 기업 목표…퀀텀점프 자신""",2024-02-13,4,https://n.news.naver.com/mnews/article/015/0004947705
기업/종목분석,"로보쓰리에이아이앤로보틱스, 베이커리 업체와 '서빙로봇' 총판 계약",2024-02-13,4,https://n.news.naver.com/mnews/article/014/0005141431
기업/종목분석,"서진시스템, 분기 역대 최고 매출·영업익 경신",2024-02-13,4,https://n.news.naver.com/mnews/article/014/0005141430
기업/종목분석,"AI 반도체 설계 가온칩스, 日 수출 계약에 28%↑",2024-02-13,4,https://n.news.naver.com/mnews/article/008/0004997904
기업/종목분석,"[특징주]세코닉스, 美중국산 스마트카 부품 제한 검토..엔비디아와 자율주행카메라 개발 부각..",2024-02-13,4,https://n.news.naver.com/mnews/article/014/0005141419
기업/종목분석,"에브리봇, 제스처 인식 AI 특허 출원..AI 서빙로봇 나온다",2024-02-13,4,https://n.news.naver.com/mnews/article/014/0005141405
기업/종목분석,"“아버지, 이름만 올려둘게요”···만연한 회계법인 ‘가족 짬짜미’",2024-02-13,4,https://n.news.naver.com/mnews/article/014/0005141395
기업/종목분석,오늘의 증시 메모[2월 14일],2024-02-13,4,https://n.news.naver.com/mnews/article/011/0004298864
기업/종목분석,"코스피, 외국인·기관 쌍끌이 매수…3거래일 연속↑",2024-02-13,4,https://n.news.naver.com/mnews/article/008/0004997862
기업/종목분석,"신영證, ‘고액자산가 전담’ APEX프라이빗클럽 해운대 오픈",2024-02-13,4,https://n.news.naver.com/mnews/article/009/0005257667
기업/종목분석,“몰빵 투자 그만” 삼성증권 ‘올인왕자’ 유튜브 콘텐츠 화제,2024-02-13,4,https://n.news.naver.com/mnews/article/009/0005257665
기업/종목분석,"미래에셋증권, 퇴직연금 DC·IRP 중장기 수익률 1위",2024-02-13,4,https://n.news.naver.com/mnews/article/009/0005257662
기업/종목분석,"[특징주] MSCI 편입 에코프로머티, 장 초반 14% 급등",2024-02-13,4,https://n.news.naver.com/mnews/article/014/0005141357
기업/종목분석,"F&F, MSCI 한국지수 제외에 '하락세'",2024-02-13,4,https://n.news.naver.com/mnews/article/008/0004997835
기업/종목분석,"라온시큐어, DGB대구은행 '행원 개인화 인증' 구축",2024-02-13,4,https://n.news.naver.com/mnews/article/008/0004997827
기업/종목분석,"신한투자증권, 1월 리테일 채권판매 1조6000억원 돌파",2024-02-13,4,https://n.news.naver.com/mnews/article/014/0005141335
기업/종목분석,"미래에셋증권, ‘투자하는 연금’으로 DC·IRP 중장기 수익률 1위",2024-02-13,4,https://n.news.naver.com/mnews/article/014/0005141334
기업/종목분석,"에스바이오메딕스, 파킨슨병 임상 1/2a상 뇌이식 수술 ""성공적으로 완료""",2024-02-13,4,https://n.news.naver.com/mnews/article/008/0004997820
기업/종목분석,"""루송채 분양 효과""...용평리조트, 지난해 영업익 14배 급증",2024-02-13,5,https://n.news.naver.com/mnews/article/014/0005141332
기업/종목분석,"대원미디어, 3월 제주도에 '스튜디오 지브리' 공식 매장 론칭",2024-02-13,5,https://n.news.naver.com/mnews/article/008/0004997815
기업/종목분석,달러 수요↑···신한 단기자금펀드 5개월 만에 1억$ 돌파,2024-02-13,5,https://n.news.naver.com/mnews/article/014/0005141319
기업/종목분석,"NHN,  서브컬쳐 ‘스텔라판타지’ 퍼블리싱 계약 체결",2024-02-13,5,https://n.news.naver.com/mnews/article/009/0005257591
기업/종목분석,"파수, AI바우처 수요기업 모집…""민감정보 솔루션 제공""",2024-02-13,5,https://n.news.naver.com/mnews/article/008/0004997801
기업/종목분석,"저PBR주 기대감에…흥국화재, 상한가",2024-02-13,5,https://n.news.naver.com/mnews/article/008/0004997796
기업/종목분석,"[특징주] '저PBR' 흥국화재, 호실적 내며 상한가",2024-02-13,5,https://n.news.naver.com/mnews/article/014/0005141303
기업/종목분석,[특징주] 엔비디아發 훈풍에...SK하이닉스 52주 신고가,2024-02-13,5,https://n.news.naver.com/mnews/article/014/0005141301
기업/종목분석,"용평리조트, 지난해 영업이익 14배 오른 214억…“루송채 분양 효과”",2024-02-13,5,https://n.news.naver.com/mnews/article/277/0005379028
기업/종목분석,"[특징주] 와이투솔루션, 테슬라 맞불..현대차-벤츠 '아이오나' 공식 출범 소식에 ↑",2024-02-13,5,https://n.news.naver.com/mnews/article/014/0005141314
기업/종목분석,‘MSCI지수 편입’ 에코프로머티·한진칼 동반 강세…제외 종목 5개는,2024-02-13,5,https://n.news.naver.com/mnews/article/009/0005257585
기업/종목분석,"""파킹형 달러 단기투자""…신한달러단기자금펀드 설정액 1억달러 돌파",2024-02-13,5,https://n.news.naver.com/mnews/article/015/0004947627
기업/종목분석,"제 2의 엔비디아 되나…ARM, IPO 후 주가 약 3배 상승",2024-02-13,5,https://n.news.naver.com/mnews/article/011/0004298749
기업/종목분석,"""아이씨에이치, 올해 실적 반등할 것…공급 개시한 제품 많아""-NH",2024-02-13,5,https://n.news.naver.com/mnews/article/015/0004947617
기업/종목분석,"[특징주]엠젠솔루션, 일본서 ‘인체 장기이식용 돼지' 탄생..유전자가위 기술 부각↑",2024-02-13,5,https://n.news.naver.com/mnews/article/014/0005141289
기업/종목분석,"리조트 내에서 치킨을?…교촌치킨, 투고 매장 2곳 오픈",2024-02-13,5,https://n.news.naver.com/mnews/article/011/0004298729
기업/종목분석,"신한투자證, 1월 리테일 채권 판매액 1.6조 돌파…한 달새 116% 급증",2024-02-13,5,https://n.news.naver.com/mnews/article/011/0004298726
기업/종목분석,"디와이디 슬로우허밍, 고체 향수 '릴리프 퍼퓸 밤' 4종 출시",2024-02-13,5,https://n.news.naver.com/mnews/article/008/0004997774
기업/종목분석,"디와이디 슬로우허밍, 고체 향수 ‘릴리프 퍼퓸 밤’ 4종 출시",2024-02-13,5,https://n.news.naver.com/mnews/article/277/0005378968
기업/종목분석,"에브리봇, 국내 최초 제스처 인식 AI 특허 출원…""AI서빙로봇 상용화""",2024-02-13,5,https://n.news.naver.com/mnews/article/277/0005378964
기업/종목분석,크래프톤 웃고 엔씨소프트 울었다…희비 갈린 게임주,2024-02-13,6,https://n.news.naver.com/mnews/article/008/0004997766
기업/종목분석,엔비디아發 훈풍…SK하이닉스·삼성전자도 강세,2024-02-13,6,https://n.news.naver.com/mnews/article/215/0001148124
기업/종목분석,"""에코프로 잊게 만든 종목""…올해만 208% 폭등",2024-02-13,6,https://n.news.naver.com/mnews/article/215/0001148123
기업/종목분석,"""퇴직연금 시장, 10년후 2.5배로 성장…개인형 퇴직연금이 견인""",2024-02-13,6,https://n.news.naver.com/mnews/article/001/0014501543
기업/종목분석,저PBR株 고속질주…현대차 26만원 돌파,2024-02-13,6,https://n.news.naver.com/mnews/article/215/0001148122
기업/종목분석,ELS 악재에도 은행주 강세…비결은 '주주환원',2024-02-13,6,https://n.news.naver.com/mnews/article/215/0001148121
기업/종목분석,"""밸류업 윤곽 곧 나온다""…또 달리는 저PBR株",2024-02-13,6,https://n.news.naver.com/mnews/article/215/0001148120
기업/종목분석,"""밀린 상승분 따라잡자""…코스피, 연고점 돌파 시도",2024-02-13,6,https://n.news.naver.com/mnews/article/215/0001148119
기업/종목분석,이달 들어 221% 뛰었다…가라앉지 않는 초전도체 '경고음',2024-02-13,6,https://n.news.naver.com/mnews/article/008/0004997760
기업/종목분석,"신영증권, APEX프라이빗클럽 해운대 오픈",2024-02-13,6,https://n.news.naver.com/mnews/article/014/0005141259
기업/종목분석,"""하이일드 공모주 펀드 가입자 주목"" 대신證, 이벤트 진행",2024-02-13,6,https://n.news.naver.com/mnews/article/014/0005141257
기업/종목분석,"하이트진로, 참이슬 후레쉬 도수 16도로 낮췄다…전면 리뉴얼",2024-02-13,6,https://n.news.naver.com/mnews/article/011/0004298698
기업/종목분석,"하이투자증권, 미국 ETF 데이트레이딩 CFD 서비스 개시",2024-02-13,6,https://n.news.naver.com/mnews/article/014/0005141243
기업/종목분석,"신한證 ""롯데쇼핑, 양호한 본업·자회사 구조 혁신 주목..목표가 상향""",2024-02-13,6,https://n.news.naver.com/mnews/article/014/0005141242
기업/종목분석,“‘주주환원 확대’ 신한지주 목표주가 15% 상향” 한투,2024-02-13,6,https://n.news.naver.com/mnews/article/014/0005141238
기업/종목분석,"""에코프로머티에 1100억 자금 유입""...호텔신라·JYP 편출",2024-02-13,6,https://n.news.naver.com/mnews/article/014/0005141233
기업/종목분석,하나증권 “프라임PB와 채팅으로 자산관리 상담하세요”,2024-02-13,6,https://n.news.naver.com/mnews/article/014/0005141230
기업/종목분석,5만 달러 뚫은 비트코인…관련주 '쾌속질주',2024-02-13,6,https://n.news.naver.com/mnews/article/215/0001148108
기업/종목분석,"젬백스링크, 포니에이아이와 합작법인 설립 계약 체결",2024-02-13,6,https://n.news.naver.com/mnews/article/008/0004997759
기업/종목분석,"라온시큐어, DGB대구은행 내부통제 혁신 시스템 구축",2024-02-13,6,https://n.news.naver.com/mnews/article/277/0005378928
기업/종목분석,"'AI 열풍' 반도체株 고공행진…""엔비디아 실적 주목""",2024-02-13,7,https://n.news.naver.com/mnews/article/215/0001148107
기업/종목분석,"신한자산운용, 달러단기자금펀드 4개월만에 설정액 1억달러 돌파",2024-02-13,7,https://n.news.naver.com/mnews/article/008/0004997744
기업/종목분석,"빗썸, 멀티체인 입출금 지원 도입…수수료 부담↓, 처리속도↑",2024-02-13,7,https://n.news.naver.com/mnews/article/008/0004997743
기업/종목분석,"에코프로머티·한진칼, MSCI 지수 편입에 '급등'…제외 종목은?",2024-02-13,7,https://n.news.naver.com/mnews/article/008/0004997742
기업/종목분석,SK하이닉스 또 올랐다… 4% 상승하며 '52주 신고가' 경신,2024-02-13,7,https://n.news.naver.com/mnews/article/008/0004997741
기업/종목분석,"에코프로머티·한진칼, MSCI 편입에 주가 '불기둥'",2024-02-13,7,https://n.news.naver.com/mnews/article/215/0001148099
기업/종목분석,"""깜짝 실적 이끈 배틀그라운드…크래프톤 목표가↑""",2024-02-13,7,https://n.news.naver.com/mnews/article/215/0001148098
기업/종목분석,"[클릭 e종목]""디어유, 성장이 기대되는 시기""",2024-02-13,7,https://n.news.naver.com/mnews/article/277/0005378924
